Training error	Testing error	
 4.9787e+00	 5.0707e+00	
 3.7128e+00	 4.2305e+00	
 3.4335e+00	 4.4685e+00	
 3.3046e+00	 3.9726e+00	
 3.1656e+00	 3.4355e+00	
 2.9103e+00	 3.4102e+00	
 2.7344e+00	 3.3849e+00	
 2.5795e+00	 3.5119e+00	
 2.4030e+00	 3.0302e+00	
 2.3296e+00	 2.8541e+00	
 2.2372e+00	 2.4617e+00	
 2.1444e+00	 2.3669e+00	
 2.0758e+00	 2.6096e+00	
 1.9537e+00	 2.0236e+00	
 1.9165e+00	 2.2395e+00	
 1.8978e+00	 2.1152e+00	
 1.7725e+00	 2.0364e+00	
 1.6572e+00	 2.3857e+00	
 1.6849e+00	 2.4086e+00	
 1.5327e+00	 1.6310e+00	
 1.5127e+00	 2.1367e+00	
 1.4298e+00	 2.2538e+00	
 1.5277e+00	 1.7767e+00	
 1.4069e+00	 1.5768e+00	
 1.2810e+00	 1.9870e+00	
 1.2754e+00	 3.1139e+00	
 1.4852e+00	 1.5918e+00	
 1.2974e+00	 1.6968e+00	
 1.1872e+00	 1.6689e+00	
 1.0998e+00	 1.8094e+00	
 1.0718e+00	 1.5449e+00	
 1.2152e+00	 1.4587e+00	
 1.0499e+00	 1.5434e+00	
 9.6439e-01	 1.6363e+00	
 9.5836e-01	 1.7615e+00	
 8.9629e-01	 1.4881e+00	
 8.7002e-01	 1.7147e+00	
 8.2830e-01	 1.7857e+00	
 8.1029e-01	 1.8665e+00	
 7.8765e-01	 1.6010e+00	
 7.8064e-01	 2.1196e+00	
 7.4359e-01	 1.5785e+00	
 7.7437e-01	 3.6410e+00	
 8.7119e-01	 1.5289e+00	
 7.1023e-01	 1.6502e+00	
 6.8625e-01	 1.4823e+00	
 6.6941e-01	 1.6560e+00	
 6.6097e-01	 1.8710e+00	
 6.2565e-01	 1.6048e+00	
 6.0731e-01	 1.5411e+00	
 5.6285e-01	 1.5905e+00	
 5.3759e-01	 1.6041e+00	
 5.2827e-01	 1.6446e+00	
 5.1953e-01	 1.7246e+00	
 5.1291e-01	 1.7236e+00	
 5.0824e-01	 1.6716e+00	
 5.1046e-01	 1.7281e+00	
 5.0617e-01	 1.7701e+00	
 4.9836e-01	 1.7859e+00	
 4.9978e-01	 1.7695e+00	
 4.9445e-01	 1.7850e+00	
 4.9024e-01	 1.8129e+00	
 4.8858e-01	 1.7603e+00	
